1/17/2015 10:50 PM,WebDriverTestBase.OpenPage:00:00:02.0342813,SSOLoginPage.LoginAs:00:00:01.9393984,DashboardPage.WaitForLoadingAnimationToVanish:00:00:02.4437242,DashboardPage.VerifyTiles:00:00:01.2863991,All:00:00:07.7038030
1/17/2015 11:02 PM,WebDriverTestBase.OpenPage:00:00:02.0923703,SSOLoginPage.LoginAs:00:00:01.9894158,DashboardPage.WaitForLoadingAnimationToVanish:00:00:03.1230560,DashboardPage.VerifyTiles:00:00:01.6325638,All:00:00:08.8374059
1/17/2015 11:03 PM,WebDriverTestBase.OpenPage:00:00:02.1388557,SSOLoginPage.LoginAs:00:00:03.3647452,DashboardPage.WaitForLoadingAnimationToVanish:00:00:03.1277896,DashboardPage.VerifyTiles:00:00:01.8882123,All:00:00:10.5196028
1/18/2015 8:42 AM,WebDriverTestBase.OpenPage:00:00:02.0711133,SSOLoginPage.LoginAs:00:00:02.8137804,DashboardPage.WaitForLoadingAnimationToVanish:00:00:07.1859196,DashboardPage.VerifyTiles:00:00:05.8579055,All:00:00:17.9287188
1/18/2015 8:43 AM,WebDriverTestBase.OpenPage:00:00:02.0911480,SSOLoginPage.LoginAs:00:00:01.8203217,DashboardPage.WaitForLoadingAnimationToVanish:00:00:03.1909648,DashboardPage.VerifyTiles:00:00:06.7112222,All:00:00:13.8136567
1/18/2015 2:10 PM,WebDriverTestBase.OpenPage:00:00:02.0952076,SSOLoginPage.LoginAs:00:00:02.1047284,DashboardPage.WaitForLoadingAnimationToVanish:00:00:03.3865138,DashboardPage.VerifyTiles:00:00:04.3117464,All:00:00:11.8981962
1/18/2015 3:18 PM,WebDriverTestBase.OpenPage:00:00:02.0939631,SSOLoginPage.LoginAs:00:00:02.1074581,DashboardPage.WaitForLoadingAnimationToVanish:00:00:07.1515795,DashboardPage.VerifyTiles:00:00:05.0767570,All:00:00:16.4297577
1/18/2015 3:19 PM,WebDriverTestBase.OpenPage:00:00:02.0505270,SSOLoginPage.LoginAs:00:00:02.0485498,DashboardPage.WaitForLoadingAnimationToVanish:00:00:20.2754082,DashboardPage.VerifyTiles:00:00:03.2132991,All:00:00:27.5877841
1/18/2015 3:20 PM,WebDriverTestBase.OpenPage:00:00:02.1224503,SSOLoginPage.LoginAs:00:00:02.0079290,DashboardPage.WaitForLoadingAnimationToVanish:00:00:02.3954093,DashboardPage.VerifyTiles:00:00:04.0566935,All:00:00:10.5824821
1/18/2015 3:21 PM,WebDriverTestBase.OpenPage:00:00:02.0689809,SSOLoginPage.LoginAs:00:00:02.0305343,DashboardPage.WaitForLoadingAnimationToVanish:00:00:03.0964036,DashboardPage.VerifyTiles:00:00:04.0638311,All:00:00:11.2597499
1/18/2015 4:05 PM,WebDriverTestBase.OpenPage:00:00:02.8243267,SSOLoginPage.LoginAs:00:00:02.1517932,All:00:00:04.9761199
1/18/2015 4:09 PM,WebDriverTestBase.OpenPage:00:00:02.1073087,SSOLoginPage.LoginAs:00:00:01.9492092,DashboardPage.WaitForLoadingAnimationToVanish:00:00:02.0892929,DashboardPage.VerifyTiles:00:00:05.3798713,All:00:00:11.5256821
1/18/2015 5:36 PM,WebDriverTestBase.OpenPage:00:00:01.1718581,SSOLoginPage.LoginAs:00:00:01.0123796,DashboardPage.WaitForLoadingAnimationToVanish:00:00:07.3937090,DashboardPage.VerifyTiles:00:00:01.8462324,All:00:00:11.4241791
1/18/2015 5:38 PM,WebDriverTestBase.OpenPage:00:00:01.2206939,SSOLoginPage.LoginAs:00:00:01.0271942,DashboardPage.WaitForLoadingAnimationToVanish:00:00:07.3136108,DashboardPage.VerifyTiles:00:00:02.0716122,All:00:00:11.6331111
1/19/2015 9:04 AM,WebDriverTestBase.OpenPage:00:00:01.2139876,SSOLoginPage.LoginAs:00:00:00.8706700,DashboardPage.WaitForLoadingAnimationToVanish:00:00:07.1536560,DashboardPage.VerifyTiles:00:00:02.1275433,All:00:00:11.3658569
1/19/2015 9:07 AM,WebDriverTestBase.OpenPage:00:00:01.1649116,SSOLoginPage.LoginAs:00:00:00.9717032,DashboardPage.WaitForLoadingAnimationToVanish:00:00:07.7018564,DashboardPage.VerifyTiles:00:00:01.8903449,All:00:00:11.7288161
1/20/2015 9:06 AM,WebDriverTestBase.OpenPage:00:00:01.3281567,SSOLoginPage.LoginAs:00:00:01.1825747,DashboardPage.WaitForLoadingAnimationToVanish:00:00:26.2656960,DashboardPage.VerifyTiles:00:00:02.5564809,All:00:00:31.3329083
